pattern_type,threshold,time,num_of_patterns
maximal,8.000000,2370,419
maximal,9.000000,564,334
maximal,10.000000,176,277
maximal,11.000000,55,231
maximal,12.000000,20,201
maximal,13.000000,13,187
maximal,14.000000,7,168
maximal,15.000000,6,151
maximal,16.000000,3,141
maximal,17.000000,3,129
maximal,18.000000,3,116
maximal,19.000000,2,113
maximal,20.000000,1,103
maximal,21.000000,2,93
maximal,22.000000,1,77
maximal,23.000000,1,69
maximal,24.000000,1,62
maximal,25.000000,1,53
maximal,26.000000,1,47
maximal,27.000000,1,36
maximal,28.000000,1,31
maximal,29.000000,1,29
maximal,30.000000,0,24
